Hoja	Fila	Campo	Error
products	1	category	category "Adicionales" no existe en Categories
products	2	category	category "Adicionales" no existe en Categories
products	3	category	category "Adicionales" no existe en Categories
products	4	category	category "Adicionales" no existe en Categories
products	5	category	category "Adicionales" no existe en Categories
products	6	category	category "Adicionales" no existe en Categories
products	7	category	category "Adicionales" no existe en Categories
products	8	category	category "Adicionales" no existe en Categories
products	9	category	category "Adicionales" no existe en Categories
products	10	category	category "Adicionales" no existe en Categories
products	11	category	category "Adicionales" no existe en Categories
products	12	category	category "Adicionales" no existe en Categories
products	13	category	category "Adicionales" no existe en Categories
products	14	category	category "Cervezas" no existe en Categories
products	15	category	category "Cervezas" no existe en Categories
products	16	category	category "Cervezas" no existe en Categories
products	17	category	category "Cervezas" no existe en Categories
products	18	category	category "Cervezas" no existe en Categories
products	19	category	category "Cervezas" no existe en Categories
products	20	category	category "Cervezas" no existe en Categories
products	21	category	category "Cervezas" no existe en Categories
products	22	category	category "Cervezas" no existe en Categories
products	23	category	category "Cervezas" no existe en Categories
products	24	category	category "Cervezas" no existe en Categories
products	25	category	category "Cervezas" no existe en Categories
products	26	category	category "Cervezas" no existe en Categories
products	27	category	category "Cervezas" no existe en Categories
products	28	category	category "Cervezas" no existe en Categories
products	29	category	category "Cervezas" no existe en Categories
products	30	category	category "Cervezas" no existe en Categories
products	31	category	category "Cervezas" no existe en Categories
products	32	category	category "Cervezas" no existe en Categories
products	33	category	category "Cervezas" no existe en Categories
products	34	category	category "Cervezas" no existe en Categories
products	35	category	category "Cervezas" no existe en Categories
products	36	category	category "Cl√°sicos" no existe en Categories
products	37	category	category "Cl√°sicos" no existe en Categories
products	38	category	category "Cl√°sicos" no existe en Categories
products	39	category	category "Clásicos" no existe en Categories
products	40	category	category "Clásicos" no existe en Categories
products	41	category	category "Clásicos" no existe en Categories
products	42	category	category "Clásicos" no existe en Categories
products	43	category	category "Clásicos" no existe en Categories
products	44	category	category "Clásicos" no existe en Categories
products	45	price	price es requerido
products	45	category	category "Clásicos" no existe en Categories
products	46	price	price es requerido
products	46	category	category "Clásicos" no existe en Categories
products	47	price	price es requerido
products	47	category	category "Clásicos" no existe en Categories
products	48	category	category "Clásicos" no existe en Categories
products	49	category	category "Clásicos" no existe en Categories
products	50	category	category "Clásicos" no existe en Categories
products	51	category	category "Clásicos" no existe en Categories
products	52	category	category "Clásicos" no existe en Categories
products	53	price	price es requerido
products	53	category	category "Clásicos" no existe en Categories
products	54	category	category "Clásicos" no existe en Categories
products	55	category	category "Clásicos" no existe en Categories
products	56	category	category "Cocteles" no existe en Categories
products	57	category	category "Cocteles" no existe en Categories
products	58	category	category "Cocteles" no existe en Categories
products	59	category	category "Cocteles" no existe en Categories
products	60	category	category "Cocteles" no existe en Categories
products	61	category	category "Cocteles" no existe en Categories
products	62	category	category "Cocteles" no existe en Categories
products	63	category	category "Cocteles" no existe en Categories
products	64	category	category "Cocteles" no existe en Categories
products	65	category	category "Cocteles" no existe en Categories
products	66	category	category "Cocteles" no existe en Categories
products	67	category	category "Cocteles" no existe en Categories
products	68	category	category "Destilados" no existe en Categories
products	69	category	category "Destilados" no existe en Categories
products	70	category	category "Destilados" no existe en Categories
products	71	category	category "Destilados" no existe en Categories
products	72	category	category "Destilados" no existe en Categories
