Handle;REF;Nombre;Categoria;Descripcion;Proveedor;Costo de compra;Unida de Compra;Unidades por unidad de compra;Presentacion Unidad de compra;Existencias bajas [Restaurante La Antigua Lecheria];Stock óptimo [Restaurante La Antigua Lecheria]
aceite-(dorofrit)-freidor-grd;10255;Aceite (Dorofrit) Freidor Grd;ZAbarrotesInv;;Joyca;15550;;;;1.000;2.000
aceite-de-cocina;10219;Aceite de Cocina El Chef 5lt inv;ZAbarrotesInv;;Joyca;6150;;;;0.500;1.000
aceite-de-oliva-2lt;10240;Aceite de Oliva 5000ml inv;ZAbarrotesInv;;Joyca;35000;;;;0.500;1.000
ajo-en-polvo;10190;Ajo en Polvo kg inv;ZAbarrotesInv;;Joyca;32500;;;;1.000;
alambrina-grande;10265;Alambrina Grande;ZAbarrotesInv;;Joyca;350;;;;3.000;5.000
arroz-con-pollo-1;10276;Arroz con Pollo Inv;ZAbarrotesInv;;Interno;;;;;10.000;15.000
arroz-bolsa-2kg;10183;Arroz Horizonte de Oro 95% Bolsa 5kg  inv;ZAbarrotesInv;;Joyca;3850;;;;8.000;21.600
arroz-precocido-imperio-1kg;10277;Arroz Precocido Imperio 1kg;ZAbarrotesInv;;Joyca;1137;;;;;2.000
azúcar-sustituto-inv;10293;Azucar Sustituto Inv;ZAbarrotesInv;;Joyca;125;bolsa;250;gramos;0.500;2.000
azucar-en-sobres-bolsa-250-unds-inv;10295;Azucar en Sobres Bolsa 250 unds Inv;ZAbarrotesInv;;Joyca;;;;;0.500;2.000
azucar-moreno-vigui-kg;10256;Azucar Moreno Vigui Kg;ZAbarrotesInv;;Joyca;1692;;;;1.000;1.000
tortilla-de-harina;10133;Tortilla de Harina 26cm und Inv;ZAbarrotesInv;<p>Tortilla harina Grande Bimbo 15 und</p>;Mayca;1500;bolsa;12;unidad;10.000;20.000
cafe-molido-1kg;10282;Cafe Molido 1kg;ZAbarrotesInv;;;;;;;0.500;1.000
yuca-precocida-inv;10125;Yuca Precocida Paq Inv;ZAbarrotesInv;;Interno;3100;bolsa;15;unidad;20.000;
cebolla-en-polvo;10191;Cebolla en Polvo inv;ZAbarrotesInv;;Joyca;1975;;;;;
chocolate-1;10309;Chocolate en Polvo;ZAbarrotesInv;;Joyca;3590;;;;;
sangria-peñalosa-litro;10284;Sangria Pe�alosa Litro;ZAbarrotesInv;;Interno;900;botella;1500;mililitros;3.000;6.000
condimentos;10159;Condimentos Inv;ZAbarrotesInv;<p>Condimentos varios</p>;;;;;;;
consome-de-pollo;10187;Consome de Pollo Kilo inv;ZAbarrotesInv;;Joyca;1664;;;;;
papel-aluminio;10246;Papel Aluminio inv;ZAbarrotesInv;;Joyca;0;caja;100;metros;0.500;1.000
crema-desinit;10271;Crema Desinit (1paq = 15 porciones);ZAbarrotesInv;<p>1 paquete de 500 gramos, rinde un galon y de un galon se sirven 15 porciones de 250 ml,</p>;Joyca;3161;;;;2.000;4.000
crema-dulce;10364;Crema Dulce;ZAbarrotesInv;;;;;;;;
