order_id,method_code,paid_at,status,amount,external_receipt_no
11269,CARD,2026-02-08 23:02:00,PAID,2000.00,3-11439
11268,CARD,2026-02-08 22:58:00,PAID,22100.00,1239
11267,CARD,2026-02-08 22:33:00,PAID,27100.00,1238
11266,CARD,2026-02-08 22:33:00,PAID,7700.00,1237
11265,CARD,2026-02-08 22:33:00,PAID,5000.00,1236
11264,CARD,2026-02-08 22:31:00,PAID,7200.00,1235
11263,CARD,2026-02-08 22:31:00,PAID,12800.00,1234
11262,CARD,2026-02-08 22:31:00,PAID,22300.00,1233
11261,CARD,2026-02-08 22:09:00,PAID,45700.00,1232
11260,CARD,2026-02-08 22:05:00,PAID,1400.00,3-11438
11259,CASH,2026-02-08 21:57:00,PAID,17900.00,1231
11258,CASH,2026-02-08 21:50:00,PAID,11600.00,1230
11257,CARD,2026-02-08 21:49:00,PAID,22800.00,1229
11256,CARD,2026-02-08 21:41:00,PAID,7200.00,1228
11255,CARD,2026-02-08 21:31:00,PAID,24800.00,1227
11253,CARD,2026-02-08 21:30:00,PAID,7100.00,1225
11254,CASH,2026-02-08 21:30:00,PAID,45300.00,1226
11252,CASH,2026-02-08 21:24:00,PAID,1300.00,1224
11251,CARD,2026-02-08 21:20:00,PAID,-5000.00,3-11437
11250,CARD,2026-02-08 21:19:00,PAID,30500.00,1223
11249,CARD,2026-02-08 21:19:00,PAID,2900.00,1222
11248,CARD,2026-02-08 21:17:00,PAID,13800.00,1221
11247,CARD,2026-02-08 21:14:00,PAID,3625.00,1220
11246,CASH,2026-02-08 21:11:00,PAID,25100.00,1219
11245,CARD,2026-02-08 20:56:00,PAID,17600.00,1218
11244,CARD,2026-02-08 20:56:00,PAID,5500.00,1217
11243,CASH,2026-02-08 20:54:00,PAID,2000.00,1216
11242,CASH,2026-02-08 20:54:00,PAID,22600.00,1215
11241,CARD,2026-02-08 20:52:00,PAID,20600.00,1214
11240,CARD,2026-02-08 20:50:00,PAID,9550.00,1213
11239,CARD,2026-02-08 20:47:00,PAID,23700.00,1212
11238,CASH,2026-02-08 20:47:00,PAID,5400.00,1211
11237,CARD,2026-02-08 20:44:00,PAID,5000.00,1210
11236,CARD,2026-02-08 20:33:00,PAID,3800.00,1209
11235,CASH,2026-02-08 20:16:00,PAID,8400.00,1208
11234,CASH,2026-02-08 20:06:00,PAID,29400.00,1207
11233,CARD,2026-02-08 20:04:00,PAID,35400.00,1206
11232,CARD,2026-02-08 20:02:00,PAID,3200.00,1205
11231,CARD,2026-02-08 20:01:00,PAID,7200.00,1204
11230,CARD,2026-02-08 19:53:00,PAID,16250.00,1203
11229,CARD,2026-02-08 19:47:00,PAID,47990.00,1202
11228,CARD,2026-02-08 19:41:00,PAID,14700.00,1201
11227,CARD,2026-02-08 19:38:00,PAID,6000.00,1200
11226,CARD,2026-02-08 19:26:00,PAID,25600.00,1199
11225,CARD,2026-02-08 19:23:00,PAID,25100.00,1198
11224,CARD,2026-02-08 19:17:00,PAID,22800.00,1197
11223,CARD,2026-02-08 19:16:00,PAID,33600.00,1196
11222,CARD,2026-02-08 19:10:00,PAID,31100.00,1195
11221,CARD,2026-02-08 18:35:00,PAID,18500.00,1194
11220,CASH,2026-02-08 18:25:00,PAID,20900.00,1193
11219,CASH,2026-02-08 18:11:00,PAID,18600.00,1192
11218,CASH,2026-02-08 17:41:00,PAID,28500.00,1191
11217,CARD,2026-02-08 17:40:00,PAID,9800.00,1190
11216,CARD,2026-02-08 17:39:00,PAID,15100.00,1189
11215,CARD,2026-02-08 17:17:00,PAID,14800.00,1188
11214,CARD,2026-02-08 02:42:00,PAID,24400.00,26-1091
11213,CARD,2026-02-07 22:57:00,PAID,22100.00,1187
11212,CARD,2026-02-07 22:55:00,PAID,18300.00,1186
11211,CARD,2026-02-07 22:28:00,PAID,11050.00,1185
11210,CARD,2026-02-07 22:26:00,PAID,14700.00,1184
11209,CARD,2026-02-07 21:31:00,PAID,10000.00,1183
11208,CARD,2026-02-07 21:30:00,PAID,7200.00,1182
11207,CARD,2026-02-07 21:30:00,PAID,4625.00,1181
11206,CARD,2026-02-07 21:05:00,PAID,26400.00,1180
11205,CARD,2026-02-07 21:01:00,PAID,3000.00,1179
11204,CARD,2026-02-07 20:57:00,PAID,14600.00,1178
11203,CASH,2026-02-07 20:37:00,PAID,18850.00,1177
11202,CASH,2026-02-07 19:41:00,PAID,13400.00,1176
11201,CASH,2026-02-07 19:41:00,PAID,5900.00,1175
