receipt_no,first_seen_local_dt,order_id_int
2-1000,2024-04-23 22:36:00,1
2-1001,2024-04-23 22:36:00,2
2-1002,2024-04-23 22:37:00,3
4-1000,2024-04-25 12:40:00,4
3-1000,2024-04-25 12:53:00,5
3-1001,2024-04-25 12:54:00,6
3-1002,2024-04-25 12:56:00,7
4-1001,2024-04-25 13:15:00,8
4-1002,2024-04-25 13:20:00,9
4-1003,2024-04-25 13:27:00,10
4-1004,2024-04-25 14:18:00,11
4-1005,2024-04-25 17:09:00,12
4-1006,2024-04-25 18:33:00,13
4-1007,2024-04-26 15:10:00,14
4-1008,2024-04-26 15:14:00,15
4-1009,2024-04-26 15:16:00,16
4-1010,2024-04-26 15:17:00,17
4-1011,2024-04-26 15:22:00,18
4-1012,2024-04-26 19:49:00,19
3-1003,2024-04-27 10:32:00,20
3-1004,2024-04-27 10:32:00,21
3-1005,2024-04-27 11:05:00,22
3-1006,2024-04-27 11:15:00,23
3-1007,2024-04-27 11:23:00,24
3-1008,2024-04-27 11:24:00,25
3-1009,2024-04-27 11:45:00,26
3-1010,2024-04-27 11:58:00,27
3-1011,2024-04-27 12:25:00,28
3-1012,2024-04-27 12:32:00,29
3-1013,2024-04-27 12:40:00,30
3-1014,2024-04-27 12:54:00,31
3-1015,2024-04-27 13:13:00,32
3-1016,2024-04-27 13:19:00,33
3-1017,2024-04-27 13:21:00,34
3-1018,2024-04-27 13:43:00,35
3-1019,2024-04-27 13:45:00,36
3-1020,2024-04-27 13:46:00,37
3-1021,2024-04-27 13:46:00,38
3-1022,2024-04-27 13:46:00,39
3-1023,2024-04-27 13:52:00,40
3-1024,2024-04-27 14:06:00,41
3-1025,2024-04-27 14:10:00,42
3-1026,2024-04-27 14:11:00,43
3-1027,2024-04-27 14:12:00,44
3-1028,2024-04-27 14:13:00,45
3-1029,2024-04-27 14:14:00,46
3-1030,2024-04-27 14:18:00,47
2-1003,2024-04-27 14:47:00,48
2-1004,2024-04-27 14:47:00,49
3-1031,2024-04-27 14:52:00,50
3-1032,2024-04-27 15:02:00,51
3-1033,2024-04-27 15:03:00,52
3-1034,2024-04-27 15:35:00,53
3-1035,2024-04-27 15:38:00,54
3-1036,2024-04-27 15:39:00,55
3-1037,2024-04-27 15:40:00,56
3-1038,2024-04-27 15:45:00,57
3-1039,2024-04-27 16:11:00,58
3-1040,2024-04-27 16:45:00,59
3-1041,2024-04-27 16:48:00,60
3-1042,2024-04-27 18:38:00,61
3-1043,2024-04-28 10:41:00,62
3-1044,2024-04-28 10:41:00,63
3-1045,2024-04-28 10:41:00,64
3-1046,2024-04-28 10:48:00,65
3-1047,2024-04-28 10:54:00,66
3-1048,2024-04-28 11:21:00,67
3-1049,2024-04-28 11:25:00,68
3-1050,2024-04-28 11:34:00,69
3-1051,2024-04-28 11:38:00,70
3-1052,2024-04-28 11:59:00,71
3-1053,2024-04-28 12:23:00,72
3-1054,2024-04-28 12:25:00,73
3-1055,2024-04-28 12:29:00,74
3-1056,2024-04-28 12:33:00,75
3-1057,2024-04-28 12:34:00,76
3-1058,2024-04-28 12:42:00,77
3-1059,2024-04-28 12:43:00,78
3-1060,2024-04-28 12:53:00,79
3-1061,2024-04-28 12:53:00,80
3-1062,2024-04-28 13:01:00,81
3-1063,2024-04-28 13:02:00,82
3-1064,2024-04-28 13:04:00,83
3-1065,2024-04-28 13:04:00,84
3-1066,2024-04-28 13:06:00,85
3-1067,2024-04-28 13:16:00,86
3-1068,2024-04-28 13:19:00,87
3-1069,2024-04-28 13:21:00,88
3-1070,2024-04-28 13:25:00,89
3-1071,2024-04-28 13:28:00,90
3-1072,2024-04-28 13:29:00,91
3-1073,2024-04-28 13:36:00,92
3-1074,2024-04-28 13:38:00,93
3-1075,2024-04-28 13:50:00,94
3-1076,2024-04-28 13:51:00,95
3-1077,2024-04-28 13:59:00,96
3-1078,2024-04-28 14:12:00,97
3-1079,2024-04-28 14:16:00,98
3-1080,2024-04-28 14:19:00,99
3-1081,2024-04-28 14:19:00,100
3-1082,2024-04-28 14:22:00,101
3-1083,2024-04-28 14:23:00,102
3-1084,2024-04-28 14:24:00,103
3-1085,2024-04-28 14:25:00,104
3-1086,2024-04-28 14:27:00,105
3-1087,2024-04-28 14:28:00,106
3-1088,2024-04-28 14:32:00,107
3-1089,2024-04-28 14:45:00,108
3-1090,2024-04-28 15:01:00,109
3-1091,2024-04-28 15:12:00,110
3-1092,2024-04-28 15:15:00,111
3-1093,2024-04-28 15:30:00,112
3-1094,2024-04-28 15:31:00,113
3-1095,2024-04-28 15:37:00,114
3-1096,2024-04-28 15:39:00,115
3-1097,2024-04-28 15:39:00,116
3-1098,2024-04-28 15:41:00,117
3-1099,2024-04-28 15:44:00,118
3-1100,2024-04-28 15:45:00,119
3-1101,2024-04-28 15:47:00,120
3-1102,2024-04-28 15:47:00,121
3-1103,2024-04-28 15:49:00,122
3-1104,2024-04-28 15:51:00,123
3-1105,2024-04-28 15:52:00,124
3-1106,2024-04-28 15:52:00,125
3-1107,2024-04-28 16:09:00,126
3-1108,2024-04-28 16:15:00,127
3-1109,2024-04-28 16:16:00,128
3-1110,2024-04-28 16:33:00,129
3-1111,2024-04-28 16:34:00,130
3-1112,2024-04-28 16:36:00,131
3-1113,2024-04-28 16:37:00,132
3-1114,2024-04-28 16:38:00,133
3-1115,2024-04-28 16:39:00,134
3-1116,2024-04-28 16:41:00,135
3-1117,2024-04-28 17:25:00,136
3-1118,2024-04-28 18:05:00,137
3-1119,2024-04-28 18:47:00,138
3-1120,2024-04-28 18:47:00,139
3-1121,2024-04-30 17:32:00,140
3-1122,2024-04-30 18:29:00,141
3-1123,2024-05-01 10:05:00,142
3-1124,2024-05-01 10:10:00,143
3-1125,2024-05-01 10:26:00,144
3-1126,2024-05-01 11:10:00,145
3-1127,2024-05-01 11:33:00,146
3-1128,2024-05-01 11:34:00,147
3-1129,2024-05-01 11:35:00,148
3-1130,2024-05-01 11:48:00,149
3-1131,2024-05-01 11:52:00,150
3-1132,2024-05-01 12:14:00,151
3-1133,2024-05-01 12:37:00,152
3-1134,2024-05-01 12:42:00,153
3-1135,2024-05-01 12:45:00,154
3-1136,2024-05-01 12:50:00,155
3-1137,2024-05-01 12:58:00,156
3-1138,2024-05-01 13:02:00,157
3-1139,2024-05-01 13:04:00,158
3-1140,2024-05-01 13:05:00,159
3-1141,2024-05-01 13:10:00,160
3-1142,2024-05-01 13:20:00,161
3-1143,2024-05-01 13:21:00,162
3-1144,2024-05-01 13:22:00,163
3-1145,2024-05-01 13:23:00,164
3-1146,2024-05-01 13:24:00,165
3-1147,2024-05-01 13:26:00,166
3-1148,2024-05-01 13:28:00,167
3-1149,2024-05-01 13:29:00,168
3-1150,2024-05-01 13:30:00,169
3-1151,2024-05-01 13:37:00,170
3-1152,2024-05-01 13:39:00,171
3-1153,2024-05-01 13:39:00,172
3-1154,2024-05-01 13:40:00,173
3-1155,2024-05-01 13:42:00,174
3-1156,2024-05-01 13:42:00,175
3-1157,2024-05-01 13:47:00,176
3-1158,2024-05-01 13:48:00,177
3-1159,2024-05-01 13:55:00,178
3-1160,2024-05-01 14:02:00,179
3-1161,2024-05-01 14:03:00,180
3-1162,2024-05-01 14:04:00,181
3-1163,2024-05-01 14:05:00,182
3-1164,2024-05-01 14:06:00,183
3-1165,2024-05-01 14:07:00,184
3-1166,2024-05-01 14:12:00,185
3-1167,2024-05-01 14:22:00,186
3-1168,2024-05-01 14:25:00,187
3-1169,2024-05-01 14:27:00,188
3-1170,2024-05-01 14:31:00,189
3-1171,2024-05-01 14:32:00,190
3-1172,2024-05-01 14:33:00,191
3-1173,2024-05-01 14:34:00,192
3-1174,2024-05-01 14:37:00,193
3-1175,2024-05-01 14:37:00,194
3-1176,2024-05-01 14:39:00,195
3-1177,2024-05-01 14:39:00,196
3-1178,2024-05-01 14:40:00,197
3-1179,2024-05-01 14:42:00,198
3-1180,2024-05-01 14:43:00,199
3-1181,2024-05-01 14:45:00,200
3-1182,2024-05-01 14:46:00,201
3-1183,2024-05-01 14:49:00,202
3-1184,2024-05-01 14:53:00,203
3-1185,2024-05-01 14:53:00,204
3-1186,2024-05-01 14:55:00,205
3-1187,2024-05-01 14:56:00,206
3-1188,2024-05-01 14:58:00,207
3-1189,2024-05-01 14:58:00,208
3-1190,2024-05-01 14:59:00,209
3-1191,2024-05-01 15:00:00,210
3-1192,2024-05-01 15:02:00,211
3-1193,2024-05-01 15:02:00,212
3-1194,2024-05-01 15:03:00,213
3-1195,2024-05-01 15:05:00,214
3-1196,2024-05-01 15:06:00,215
3-1197,2024-05-01 15:08:00,216
3-1198,2024-05-01 15:09:00,217
3-1199,2024-05-01 15:23:00,218
3-1200,2024-05-01 15:24:00,219
3-1201,2024-05-01 15:27:00,220
3-1202,2024-05-01 15:29:00,221
3-1203,2024-05-01 15:34:00,222
3-1204,2024-05-01 15:39:00,223
3-1205,2024-05-01 15:50:00,224
3-1206,2024-05-01 15:56:00,225
3-1207,2024-05-01 15:57:00,226
